Username,"Date Posted",Post
admin,2015-09-30,hello
admin,2015-09-30,hi
admin,2015-09-30,"<b> bold</b>"
admin,2015-09-30,<i>italic</i>
admin,2015-09-30,"dummy post"
admin,2015-09-30,"just some post!"
admin,2015-09-30,"<img src=""signout.php"" alt=""signout.php"" />"
admin,2015-09-30,hello
admin,2015-09-30,what
admin,2015-09-30,"hi there"
admin,2015-09-30,
admin,2015-09-30,
admin,2015-09-30,"&lt;script type='text/js'&gt;
window.alert(""hello"");
&lt;/script&gt;"
admin,2015-09-30,
admin,2015-09-30,
admin,2015-09-30,"<a href=""signout.php""> blahblah </a>"
admin,2015-09-30,"<a> ahahah </a>"
admin,2015-09-30,
admin,2015-09-30,
admin,2015-09-30,
admin,2015-09-30,<a>asjduasd</a>
admin,2015-09-30,
admin,2015-09-30,<a></a>
admin,2015-09-30,
admin,2015-09-30,<div></div>
admin,2015-09-30,"<div>
DIV
</div>"
admin,2015-09-30,
admin,2015-09-30,"<img src=""asdasidas"" alt=""asdasidas"" />"
admin,2015-09-30,"<img src=""www.google.com"" alt=""www.google.com"" />"
admin,2015-09-30,"<img src=""signout.php"" alt=""signout.php"" />"
admin,2015-09-30,"<img src=""/signout.php"" alt=""signout.php"" />"
admin,2015-09-30,"
"
admin,2015-09-30,
admin,2015-09-30,"<img src=""http://globe-views.com/dcim/dreams/pig/pig-05.jpg"" alt=""pig-05.jpg"" />"
admin,2015-09-30,"<img src=""http://globe-views.com/dcim/dreams/pig/pig-05.jpg"" alt=""pig-05.jpg"" />"
admin,2015-09-30,"<img src=""https://tjthesportsgeek.files.wordpress.com/2014/12/miranda-sings.png?w=300&amp;h=287"" alt=""miranda-sings.png?w=300&amp;h=287"" />"
admin,2015-09-30,"<img src=""https://tjthesportsgeek.files.wordpress.com/2014/12/miranda-sings.png?w=300&amp;h=287"" alt=""miranda-sings.png?w=300&amp;h=287"" />"
admin,2015-09-30,"<a href=""http://superlogout.com""><img src=""https://tjthesportsgeek.files.wordpress.com/2014/12/miranda-sings.png?w=300&amp;h=287"" alt=""miranda-sings.png?w=300&amp;h=287"" ></a>"
admin,2015-09-30,"&lt;&gt; asidhasd &lt;&gt;"
admin,2015-09-30,"rm onload=alert""('yeah')""&gt;&gt;"
admin,2015-09-30,"&lt;rm onload=alert""('yeah')""&gt;&gt;"
admin,2015-09-30,"&lt;form onload=alert""('yeah')""&gt;&gt;"
admin,2015-09-30,"&lt;form onload=""alert('yeah')""&gt;&gt;"
admin,2015-09-30,&lt;script&gt;
admin,2015-09-30,"&lt;script&gt; &lt;/script&gt;"
admin,2015-09-30,"&lt;script&gt; alert(""YEAH""); &lt;/script&gt;"
matt,2015-09-30,"<a href=""signout.php?verify=logout"">asdjasdjasd</a>"
matt,2015-09-30,"<img src=""superlogout.com"" alt=""superlogout.com"" />"
rets,2015-09-30,"i am batman"
rets,2015-09-30,"i am legend"
rets,2015-09-30,hi
rets,2015-09-30,hello
